Name
Asian American
Indian American
Indian
Taiwanese
Taiwanese American
Japanese
Chinese American
Chinese
Korean
Korean American
South Asian - Mixed
East Asian - Mixed
Mixed
White / Caucasian
African American
Vietnamese
Vietnamese American
Thai
Thai American
Hmong
Hmong American
Burmese
Burmese American
Laotian
Laotian American
Sri Lankan
Chinese Canadian
Filipino
Southeast Asian
